record,split,rate_hz,protocol,horizon,domain,oracle_rms,fp_rms,floor_over_target,oracle_finite,fp_finite
V1_standstill_Yp10,V,4000,open_loop,full,time,2.532992050168515e-06,1.4336879202929859e-05,0.1766766682145775,True,True
V1_standstill_Yp10,V,4000,open_loop,full,band,5.156527115721872e-08,8.482555187564351e-06,0.0060789785644795764,True,True
V1_standstill_Yp10,V,4000,open_loop,windows,time,7.631962820038262e-08,0.0005291652437300259,0.00014422645686707275,True,True
V1_standstill_Yp10,V,4000,open_loop,windows,band,4.587105288964662e-08,7.66714043042963e-06,0.0059828111022450945,True,True
V1_standstill_Yp10,V,2000,open_loop,full,time,1.0298491373006124e-05,9.456686501271205e-06,1.0890168952541421,True,True
V1_standstill_Yp10,V,2000,open_loop,full,band,2.1034335484560692e-07,8.367961776126368e-06,0.025136749004484274,True,True
V1_standstill_Yp10,V,2000,open_loop,windows,time,3.1845934433302504e-07,0.0005077157397238828,0.0006272394558936004,True,True
V1_standstill_Yp10,V,2000,open_loop,windows,band,1.9576991596559323e-07,7.82590681165929e-06,0.02501562064014471,True,True
V1_standstill_Yp10,V,1000,open_loop,full,time,3.9102913155918684e-05,2.8603052526272432e-05,1.3670888140348634,True,True
V1_standstill_Yp10,V,1000,open_loop,full,band,9.848329859067301e-07,7.935875684828867e-06,0.12409884239863411,True,True
V1_standstill_Yp10,V,1000,open_loop,windows,time,1.376809316794218e-06,0.0004964329198861583,0.002773404545995755,True,True
V1_standstill_Yp10,V,1000,open_loop,windows,band,9.38207064632148e-07,7.604124453117567e-06,0.12338134001048581,True,True
V2_aprbs_Ylow,V,4000,open_loop,full,time,2.450717481426094e-06,0.000860080466450685,0.0028494048836378407,True,True
V2_aprbs_Ylow,V,4000,open_loop,full,band,5.0789985620507107e-08,8.45468735248076e-06,0.006007316829475,True,True
V2_aprbs_Ylow,V,4000,open_loop,windows,time,8.849498066113335e-08,0.0005989531320890262,0.00014774942465444821,True,True
V2_aprbs_Ylow,V,4000,open_loop,windows,band,4.537196222799857e-08,7.596288743703841e-06,0.0059729117413559315,True,True
V2_aprbs_Ylow,V,2000,open_loop,full,time,9.944471723544632e-06,0.0008586931586063188,0.011580937409219338,True,True
