record,split,rate_hz,protocol,model,horizon,divergence_seconds,n_diverged_windows,correction_force_finite,correction_force_aggregate_rms,correction_force_rms_X1,correction_force_max_X1,correction_force_rms_X2,correction_force_max_X2,correction_force_rms_Y,correction_force_max_Y,applied_force_finite,applied_force_aggregate_rms,applied_force_rms_X1,applied_force_max_X1,applied_force_rms_X2,applied_force_max_X2,applied_force_rms_Y,applied_force_max_Y
V1_standstill_Yp10,V,2000,corate,oracle,full,,,True,5.043430072429353,6.199480899449923,22.64676259994846,6.07949469265549,22.756838889378532,0.9564212177610628,8.179051265256247,True,194.93203888051173,218.21030272298555,773.6332186087751,219.16004824197992,857.3911791324813,135.4571385584976,459.74039682678364
V1_standstill_Yp10,V,2000,corate,oracle,windows,,0,True,4.972555702225011,6.083595161636652,22.647243023803846,5.98531145790833,22.75803434172964,1.1596755133802568,9.557243355507552,True,195.2574127633917,218.32961746009084,773.6323465724771,219.72686094131794,857.3909320119237,135.75218759845356,459.7391277734316
V1_standstill_Yp10,V,2000,corate,fp,full,,,True,100.24957593319078,40.34295753765058,143.4796149866782,44.02179814641484,158.96159294288242,163.04741485048262,561.18582574438,True,245.5963565738645,221.29428129503916,775.9374643067074,233.1612710617422,901.4011325483046,278.5989480060096,966.6161069951597
V1_standstill_Yp10,V,2000,corate,fp,windows,,0,True,99.60569349534,39.66459739473557,150.6880661676963,43.21683249782379,153.87821868411743,162.24335928607812,575.547871864981,True,244.83943848938853,221.36154977747464,775.9377808214641,233.2314162111683,901.40110250975,276.4800583977886,936.0905869129814
V1_standstill_Yp10,V,2000,controller20k_zoh,oracle,full,,,True,54.04298853755958,66.58449208053374,241.26758963175212,64.82255325497871,247.24660606541192,11.24614752238319,63.30046334466488,True,237.75902371396313,275.902702492392,994.5394976818513,271.25219091168304,1056.585622065149,141.02484800650234,497.2800473871777
V1_standstill_Yp10,V,2000,controller20k_zoh,oracle,windows,,0,True,53.22089651942561,65.48912533662134,241.26788460494583,63.903960282711274,247.24188829748653,11.173620801881281,44.17457378452286,True,237.16988740768346,274.63848973629024,994.5395457412535,270.91163639365226,1056.5852026947887,141.17100162853026,497.27984343953057
V1_standstill_Yp10,V,2000,controller20k_zoh,fp,full,,,True,114.87888395477152,73.38433587334204,258.23392050181667,80.94570465474683,306.8836365799259,166.29493703193947,614.181712223514,True,281.9421982502475,276.8211352958987,993.8831594284023,286.18280128411305,1111.513106698637,282.7431215170623,1010.9137081195042
V1_standstill_Yp10,V,2000,controller20k_zoh,fp,windows,,0,True,113.93357972769168,72.28377007700793,258.2338282118543,79.59487358419733,306.88357243450025,165.47596336407534,595.496788705285,True,280.5172386391138,275.58427982391237,993.8834780628227,285.3053264422281,1111.5130762230547,280.5778660884875,988.542264375302
V1_standstill_Yp10,V,1000,corate,oracle,full,0.366,,False,,,,,,,,False,,,,,,,
V1_standstill_Yp10,V,1000,corate,oracle,windows,,0,True,104.72706387507921,40.00664409532122,209.26194072812268,38.79979832847031,186.05144481751873,172.61899606238327,1387.593450585787,True,199.7119969957389,190.52405264881045,648.6577150680492,191.71273202319193,775.6025616186398,215.87371070733732,1428.7561120428488
V1_standstill_Yp10,V,1000,corate,fp,full,,,True,136.80430791767276,83.98516512906748,286.21518864272304,85.74723968651024,279.14052169605714,204.30408444005147,712.3185682026023,True,259.65697124810123,208.0037427198193,740.1000351835662,227.28855761627756,902.5005332258943,327.62720086169753,1141.4025940643232
V1_standstill_Yp10,V,1000,corate,fp,windows,,0,True,134.40369776045355,81.02275076653498,265.777450058432,82.48410551750644,279.15202846130285,202.05135018170716,712.3186043338305,True,257.7937929099844,207.48040220204507,740.095851980492,226.49852438692702,902.6400979083285,324.07286239574273,1141.4026499491833
V1_standstill_Yp10,V,1000,controller20k_zoh,oracle,full,,,True,161.76915195712002,201.1896256402822,722.63669498731,192.0409843073451,720.1271157067541,33.92300776414998,143.03157405955548,True,297.8038736827466,359.96071604348606,1313.245997957912,339.3445434161226,1395.2405716539076,146.06507214427472,531.3667729657474
V1_standstill_Yp10,V,1000,controller20k_zoh,oracle,windows,,0,True,157.80666930614206,195.93917946106328,722.8197985478214,187.54153130272795,719.9256967399846,33.83558217686819,136.23881159307376,True,294.914026569037,355.267163776141,1313.0413251743914,336.70278724299806,1399.0192014778943,146.0798569507099,529.6278102277466
V1_standstill_Yp10,V,1000,controller20k_zoh,fp,full,,,True,227.25624085393008,226.04499221322573,887.0637245564802,239.574578442756,985.071437472891,215.50842183190235,875.9016391032072,True,371.63593587190394,381.46065442611297,1523.137905163711,391.157276247519,1588.120852454232,340.3286071689855,1316.7489764445158
V1_standstill_Yp10,V,1000,controller20k_zoh,fp,windows,,0,True,221.37274631735363,218.76268652833113,887.0526909258525,231.93018427427347,985.059821492663,212.99989446399047,875.9019347820371,True,365.97889797678226,374.46767933718127,1523.132014192995,385.1624721980968,1560.1381936332386,336.5196702051417,1316.7492721233457
V2_aprbs_Ylow,V,4000,corate,oracle,full,,,True,1.0772406157367393,1.4170977989576994,5.879426070775461,1.1940018173757363,4.7613024349772095,0.2180264224154719,1.4443651302254925,True,250.20439903079514,298.85888529214515,1294.6906667922296,271.5259046112399,1028.1786402510215,157.36509679744245,633.3611970334259
V2_aprbs_Ylow,V,4000,corate,oracle,windows,,0,True,1.0627698872695024,1.3944799885315546,5.8794260261456985,1.1754891751769243,4.761302656005215,0.24917917346239463,2.1887763742075905,True,250.67702957367194,299.56167628001646,1294.690830470605,271.80315455915405,1028.1797833760968,157.80610489977266,633.6849362797714
V2_aprbs_Ylow,V,4000,corate,fp,full,,,True,88.00757629056704,31.02145694501513,129.4518371016223,27.29649715271594,92.9615162677068,146.72617662101155,491.10424022629275,True,280.24499674496866,300.5926452335428,1312.8296806567291,271.55742549421205,1007.5422832689117,267.4180264907723,966.2362939012057
V2_aprbs_Ylow,V,4000,corate,fp,windows,,0,True,87.77560149818841,30.910387715159324,128.77930460133103,27.13119811908803,92.5707109774955,146.36295526883723,526.2176955072059,True,280.025146403913,301.4248629589943,1312.8318579093286,271.440833217983,1007.5142316119772,265.9044450694223,966.2115232064706
V2_aprbs_Ylow,V,4000,controller20k_zoh,oracle,full,,,True,21.83254119095138,28.622302327720586,116.02882744096348,24.2973454758755,93.9364767758077,4.51468457926848,20.450582807092395,True,264.67238732070257,318.4249834393522,1402.9290492426815,288.75250458885967,1107.7660877189487,159.31710154728964,639.0598805588295
V2_aprbs_Ylow,V,4000,controller20k_zoh,oracle,windows,,0,True,48.43189693863201,62.61095568217306,1532.9695147721231,50.84106449578804,1207.253123974501,23.06513196846898,658.2920815500781,True,268.5516961028922,323.9903962193462,1830.1304746192072,292.1397713011258,1696.6951770894332,161.38344903049557,931.7599160227344
V2_aprbs_Ylow,V,4000,controller20k_zoh,fp,full,,,True,91.3823514107767,39.22173927617376,160.6853216147623,36.21524514531246,140.6951643083712,149.00440810695767,508.5973655636537,True,293.10020623444194,318.78256072866725,1390.2433366681141,288.7363862586025,1080.9041711354216,269.6890263055065,980.4772940047973
V2_aprbs_Ylow,V,4000,controller20k_zoh,fp,windows,,0,True,100.80389381145254,68.34613194075756,1533.473862441664,57.01783426439722,1206.887654443867,150.2066837633602,660.1156959584653,True,296.00524381147443,324.5434009805496,1830.8976917275838,291.67267457227956,1696.2710449841477,269.1764196201116,980.4495261320924
V2_aprbs_Ylow,V,2000,corate,oracle,full,,,True,5.3601918260192125,7.0893671024697005,28.75765566188814,5.917483816615263,23.199392509075494,0.9587641011668919,9.402997224816978,True,247.49492912772448,295.3590998268619,1257.911663779952,268.4299511810018,1017.8005281755368,156.42756563420303,624.1254221248415
V2_aprbs_Ylow,V,2000,corate,oracle,windows,,0,True,5.264796527623196,6.9475915527656875,28.68787202349609,5.796038343522707,23.197967460266483,1.136291585893867,9.019051344347858,True,248.01215249246712,296.1333722482653,1258.0058876910668,268.7420969118747,1017.7748994609846,156.88465361570317,619.5856041383021
