[BLA-frf] loaded frf_init_ss.npz, nx=8
[BLA-frf] max|eig| = 1.000000, closest pole to z=1: 0.000e+00
[BLA-frf] |eig| = [1.       1.       0.999889 0.999889 0.99569  0.99569  0.937483 0.937483]
[BLA-frf] applied, zero_nonlinear=True
Model already initilized (init_model_done=True), skipping initilizing of the model, the norm and the creation of the optimizer
Size of the training array =  87.7 MB
N_training_samples = 9184, batch_size = 256, N_batch_updates_per_epoch = 35
Initial Validation sim-RMS= 0.21754673300598
Starting indefinite training until 12600.0 seconds have passed due to provided timeout
It 2695, sqrt loss  0.1139, Val sim-RMS 0.1234, Time Loss: 84.6%, data: 0.4%, val: 15.0%,  1.2 batches/sec
It 2730, sqrt loss 0.09886, Val sim-RMS 0.07381, Time Loss: 84.6%, data: 0.4%, val: 15.0%,  1.2 batches/sec
It 2765, sqrt loss 0.09131, Val sim-RMS 0.0734, Time Loss: 84.5%, data: 0.4%, val: 15.1%,  1.2 batches/sec
It 2800, sqrt loss 0.09897, Val sim-RMS 0.07351, Time Loss: 84.6%, data: 0.4%, val: 15.1%,  1.3 batches/sec
It 2835, sqrt loss 0.09156, Val sim-RMS 0.07466, Time Loss: 84.6%, data: 0.4%, val: 15.1%,  1.3 batches/sec
It 2870, sqrt loss 0.09137, Val sim-RMS 0.05891, Time Loss: 84.6%, data: 0.4%, val: 15.0%,  1.3 batches/sec
It 2905, sqrt loss 0.09595, Val sim-RMS 0.06617, Time Loss: 84.6%, data: 0.4%, val: 15.0%,  1.3 batches/sec
It 2940, sqrt loss 0.09417, Val sim-RMS 0.1652, Time Loss: 84.7%, data: 0.4%, val: 15.0%,  1.3 batches/sec
It 2975, sqrt loss 0.08107, Val sim-RMS 0.1297, Time Loss: 84.7%, data: 0.4%, val: 15.0%,  1.3 batches/sec
It 3010, sqrt loss 0.09056, Val sim-RMS 0.1457, Time Loss: 84.7%, data: 0.4%, val: 14.9%,  1.3 batches/sec
It 3045, sqrt loss  0.0924, Val sim-RMS 0.07868, Time Loss: 84.7%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3080, sqrt loss  0.1053, Val sim-RMS 0.07798, Time Loss: 84.7%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3115, sqrt loss 0.09047, Val sim-RMS 0.05888, Time Loss: 84.7%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3150, sqrt loss  0.1068, Val sim-RMS 0.1353, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3185, sqrt loss  0.0941, Val sim-RMS 0.06995, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3220, sqrt loss 0.08193, Val sim-RMS 0.1506, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3255, sqrt loss 0.08239, Val sim-RMS 0.08501, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3290, sqrt loss 0.08149, Val sim-RMS 0.09211, Time Loss: 84.8%, data: 0.3%, val: 14.8%,  1.3 batches/sec
