[BLA-frf] loaded truth_ss_fs800.npz, nx=8
[BLA-frf] max|eig| = 1.000000, closest pole to z=1: 0.000e+00
[BLA-frf] |eig| = [1.       1.       0.999192 0.998763 0.996286 0.996286 0.936582 0.936582]
[BLA-frf] applied, zero_nonlinear=True
Model already initilized (init_model_done=True), skipping initilizing of the model, the norm and the creation of the optimizer
Size of the training array =  87.7 MB
N_training_samples = 9184, batch_size = 256, N_batch_updates_per_epoch = 35
Initial Validation sim-RMS= 0.15225733443244543
Starting indefinite training until 12600.0 seconds have passed due to provided timeout
########## New lowest validation loss achieved ########### sim-RMS = 0.14065797133553362
It 2100, sqrt loss  0.1185, Val sim-RMS 0.08281, Time Loss: 84.2%, data: 0.4%, val: 15.4%,  1.2 batches/sec
It 2135, sqrt loss  0.1174, Val sim-RMS 0.09228, Time Loss: 84.2%, data: 0.4%, val: 15.3%,  1.2 batches/sec
It 2170, sqrt loss  0.1169, Val sim-RMS 0.1254, Time Loss: 84.3%, data: 0.4%, val: 15.3%,  1.2 batches/sec
It 2205, sqrt loss  0.1066, Val sim-RMS 0.09143, Time Loss: 84.3%, data: 0.4%, val: 15.3%,  1.2 batches/sec
It 2240, sqrt loss   0.108, Val sim-RMS 3.001e+07, Time Loss: 84.3%, data: 0.4%, val: 15.3%,  1.2 batches/sec
It 2275, sqrt loss   0.116, Val sim-RMS 0.1037, Time Loss: 84.3%, data: 0.4%, val: 15.3%,  1.2 batches/sec
It 2310, sqrt loss  0.1118, Val sim-RMS 1.632e+08, Time Loss: 84.3%, data: 0.4%, val: 15.3%,  1.2 batches/sec
It 2345, sqrt loss  0.1164, Val sim-RMS 7.857e+06, Time Loss: 84.4%, data: 0.4%, val: 15.2%,  1.2 batches/sec
It 2380, sqrt loss  0.1041, Val sim-RMS 0.1028, Time Loss: 84.4%, data: 0.4%, val: 15.2%,  1.2 batches/sec
It 2415, sqrt loss  0.1028, Val sim-RMS 0.09817, Time Loss: 84.4%, data: 0.4%, val: 15.2%,  1.2 batches/sec
It 2450, sqrt loss  0.1016, Val sim-RMS 0.09381, Time Loss: 84.4%, data: 0.4%, val: 15.2%,  1.2 batches/sec
It 2485, sqrt loss  0.1031, Val sim-RMS 0.09966, Time Loss: 84.4%, data: 0.4%, val: 15.2%,  1.2 batches/sec
It 2520, sqrt loss  0.1081, Val sim-RMS 0.1027, Time Loss: 84.4%, data: 0.4%, val: 15.2%,  1.2 batches/sec
It 2555, sqrt loss   0.119, Val sim-RMS 0.08197, Time Loss: 84.4%, data: 0.4%, val: 15.2%,  1.2 batches/sec
It 2590, sqrt loss   0.114, Val sim-RMS 2.057e+06, Time Loss: 84.5%, data: 0.4%, val: 15.2%,  1.2 batches/sec
It 2625, sqrt loss 0.09085, Val sim-RMS    nan, Time Loss: 84.5%, data: 0.4%, val: 15.1%,  1.2 batches/sec
It 2660, sqrt loss 0.09366, Val sim-RMS 0.1071, Time Loss: 84.5%, data: 0.4%, val: 15.1%,  1.2 batches/sec
It 2695, sqrt loss  0.1011, Val sim-RMS 0.1019, Time Loss: 84.5%, data: 0.4%, val: 15.1%,  1.2 batches/sec
It 2730, sqrt loss 0.09718, Val sim-RMS 0.09155, Time Loss: 84.5%, data: 0.4%, val: 15.1%,  1.2 batches/sec
It 2765, sqrt loss  0.1011, Val sim-RMS 0.1033, Time Loss: 84.4%, data: 0.4%, val: 15.2%,  1.2 batches/sec
It 2800, sqrt loss 0.08947, Val sim-RMS  0.098, Time Loss: 84.4%, data: 0.4%, val: 15.2%,  1.3 batches/sec
It 2835, sqrt loss 0.08463, Val sim-RMS 1.607e+18, Time Loss: 84.5%, data: 0.4%, val: 15.2%,  1.3 batches/sec
########## New lowest validation loss achieved ########### sim-RMS = 0.07085019838778235
It 2870, sqrt loss  0.0937, Val sim-RMS 0.07085, Time Loss: 84.5%, data: 0.4%, val: 15.1%,  1.3 batches/sec
It 2905, sqrt loss 0.09621, Val sim-RMS 0.1144, Time Loss: 84.5%, data: 0.4%, val: 15.1%,  1.3 batches/sec
It 2940, sqrt loss 0.08409, Val sim-RMS 5.121e+10, Time Loss: 84.6%, data: 0.4%, val: 15.1%,  1.3 batches/sec
It 2975, sqrt loss 0.08542, Val sim-RMS 1.015e+05, Time Loss: 84.6%, data: 0.4%, val: 15.0%,  1.3 batches/sec
It 3010, sqrt loss 0.09362, Val sim-RMS 0.1035, Time Loss: 84.6%, data: 0.4%, val: 15.0%,  1.3 batches/sec
It 3045, sqrt loss 0.08257, Val sim-RMS 0.1042, Time Loss: 84.6%, data: 0.4%, val: 15.0%,  1.3 batches/sec
It 3080, sqrt loss 0.09521, Val sim-RMS 0.1099, Time Loss: 84.6%, data: 0.4%, val: 15.0%,  1.3 batches/sec
It 3115, sqrt loss 0.08667, Val sim-RMS 1.714e+10, Time Loss: 84.6%, data: 0.4%, val: 15.0%,  1.3 batches/sec
It 3150, sqrt loss 0.09091, Val sim-RMS 0.07277, Time Loss: 84.7%, data: 0.4%, val: 15.0%,  1.3 batches/sec
It 3185, sqrt loss 0.08762, Val sim-RMS 0.1267, Time Loss: 84.7%, data: 0.4%, val: 15.0%,  1.3 batches/sec
It 3220, sqrt loss 0.09181, Val sim-RMS 0.1072, Time Loss: 84.7%, data: 0.4%, val: 15.0%,  1.3 batches/sec
It 3255, sqrt loss 0.08937, Val sim-RMS 0.09192, Time Loss: 84.7%, data: 0.4%, val: 14.9%,  1.3 batches/sec
It 3290, sqrt loss 0.07452, Val sim-RMS 1.018e+12, Time Loss: 84.7%, data: 0.4%, val: 14.9%,  1.3 batches/sec
It 3325, sqrt loss 0.08062, Val sim-RMS 0.09496, Time Loss: 84.7%, data: 0.4%, val: 14.9%,  1.3 batches/sec
It 3360, sqrt loss 0.07928, Val sim-RMS 0.1334, Time Loss: 84.7%, data: 0.4%, val: 14.9%,  1.3 batches/sec
It 3395, sqrt loss   0.106, Val sim-RMS 0.1414, Time Loss: 84.7%, data: 0.4%, val: 14.9%,  1.3 batches/sec
It 3430, sqrt loss 0.08598, Val sim-RMS 0.1247, Time Loss: 84.7%, data: 0.4%, val: 14.9%,  1.3 batches/sec
It 3465, sqrt loss 0.07311, Val sim-RMS 3.359e+06, Time Loss: 84.7%, data: 0.4%, val: 14.9%,  1.3 batches/sec
It 3500, sqrt loss 0.07973, Val sim-RMS 8.758e+05, Time Loss: 84.7%, data: 0.4%, val: 14.9%,  1.3 batches/sec
It 3535, sqrt loss 0.07689, Val sim-RMS 9.374e+09, Time Loss: 84.7%, data: 0.4%, val: 14.9%,  1.3 batches/sec
It 3570, sqrt loss 0.08754, Val sim-RMS 0.1104, Time Loss: 84.7%, data: 0.4%, val: 14.9%,  1.3 batches/sec
It 3605, sqrt loss 0.08587, Val sim-RMS 0.1006, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3640, sqrt loss 0.06862, Val sim-RMS 0.1078, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3675, sqrt loss 0.06588, Val sim-RMS 5.807e+04, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3710, sqrt loss 0.09842, Val sim-RMS  0.112, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3745, sqrt loss   0.081, Val sim-RMS 0.1067, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3780, sqrt loss 0.08255, Val sim-RMS 0.1087, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3815, sqrt loss  0.0734, Val sim-RMS 0.1288, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3850, sqrt loss 0.07682, Val sim-RMS 1.252e+25, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3885, sqrt loss 0.06592, Val sim-RMS 0.1018, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3920, sqrt loss   0.111, Val sim-RMS 0.0957, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3955, sqrt loss 0.08235, Val sim-RMS 0.1518, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 3990, sqrt loss 0.06419, Val sim-RMS 0.1243, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
########## New lowest validation loss achieved ########### sim-RMS = 0.05924039490243342
It 4025, sqrt loss 0.06557, Val sim-RMS 0.05924, Time Loss: 84.8%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4060, sqrt loss 0.09249, Val sim-RMS 0.1187, Time Loss: 84.8%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4095, sqrt loss  0.0693, Val sim-RMS 4.849e+04, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 4130, sqrt loss 0.06282, Val sim-RMS 3.73e+04, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 4165, sqrt loss 0.07147, Val sim-RMS 0.1139, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 4200, sqrt loss 0.07621, Val sim-RMS 4.754e+04, Time Loss: 84.8%, data: 0.3%, val: 14.9%,  1.3 batches/sec
It 4235, sqrt loss 0.07636, Val sim-RMS 0.1099, Time Loss: 84.8%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4270, sqrt loss 0.09197, Val sim-RMS 0.1023, Time Loss: 84.8%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4305, sqrt loss 0.08831, Val sim-RMS 2.309e+04, Time Loss: 84.8%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4340, sqrt loss 0.05883, Val sim-RMS 0.1212, Time Loss: 84.8%, data: 0.3%, val: 14.8%,  1.3 batches/sec
